ISO,Country Name,Timestamp,Value,FLAG
AUT,Austria,2015/5/2,258.9168114,N
AUT,Austria,2015/5/3,249.4976293,N
AUT,Austria,2015/5/4,247.6227005,N
AUT,Austria,2015/5/5,235.5889271,N
AUT,Austria,2015/5/6,223.0143586,N
AUT,Austria,2015/5/7,219.1877528,N
AUT,Austria,2015/5/8,211.4198045,N
AUT,Austria,2015/5/9,206.8702305,N
AUT,Austria,2015/5/10,190.4860333,N
AUT,Austria,2015/5/11,197.0263563,N
AUT,Austria,2015/5/12,197.9976327,N
AUT,Austria,2015/5/13,194.5873897,N
AUT,Austria,2015/5/14,192.0394461,N
AUT,Austria,2015/5/15,181.5377256,N
AUT,Austria,2015/5/16,179.5322793,N
AUT,Austria,2015/5/17,176.8185751,N
AUT,Austria,2015/5/18,177.0519668,N
AUT,Austria,2015/5/19,181.3883309,N
AUT,Austria,2015/5/20,170.8882127,N
AUT,Austria,2015/5/21,160.8844602,N
AUT,Austria,2015/5/22,155.5575789,N
AUT,Austria,2015/5/23,144.9651462,N
AUT,Austria,2015/5/24,146.0775832,N
AUT,Austria,2015/5/25,141.288935,N
AUT,Austria,2015/5/26,140.4767841,N
AUT,Austria,2015/5/27,138.7406027,N
AUT,Austria,2015/5/28,162.6784589,N
AUT,Austria,2015/5/29,168.3874819,N
AUT,Austria,2015/5/30,175.7456842,N
AUT,Austria,2015/5/31,183.858665,N
AUT,Austria,2015/6/1,182.3144973,N
AUT,Austria,2015/6/2,189.2440382,N
AUT,Austria,2015/6/3,182.425272,N
AUT,Austria,2015/6/4,174.2239801,N
AUT,Austria,2015/6/5,170.1775618,N
AUT,Austria,2015/6/6,172.7853135,N
AUT,Austria,2015/6/7,173.5717458,N
AUT,Austria,2015/6/8,171.3066284,N
AUT,Austria,2015/6/9,161.5371414,N
AUT,Austria,2015/6/10,159.1294065,N
AUT,Austria,2015/6/11,162.5227985,N
AUT,Austria,2015/6/12,164.4641182,N
AUT,Austria,2015/6/13,170.2833303,N
AUT,Austria,2015/6/14,177.1259936,N
AUT,Austria,2015/6/15,173.4855829,N
AUT,Austria,2015/6/16,167.6980832,N
AUT,Austria,2015/6/17,166.1560042,N
AUT,Austria,2015/6/18,164.6422814,N
AUT,Austria,2015/6/19,167.936038,N
AUT,Austria,2015/6/20,167.6081166,N
AUT,Austria,2015/6/21,166.0679971,N
AUT,Austria,2015/6/22,163.8754268,N
AUT,Austria,2015/6/23,169.3054925,N
AUT,Austria,2015/6/24,170.8201982,N
AUT,Austria,2015/6/25,170.0444369,N
AUT,Austria,2015/6/26,171.3325313,N
AUT,Austria,2015/6/27,178.7648624,N
AUT,Austria,2015/6/28,184.0784407,N
AUT,Austria,2015/6/29,189.9044179,N
AUT,Austria,2015/6/30,192.1680625,N
AUT,Austria,2015/7/1,200.7405199,N
AUT,Austria,2015/7/2,207.2913589,N
AUT,Austria,2015/7/3,203.3336789,N
AUT,Austria,2015/7/4,205.8442749,N
AUT,Austria,2015/7/5,212.5010287,N
AUT,Austria,2015/7/6,215.0737588,N
AUT,Austria,2015/7/7,219.3871249,N
AUT,Austria,2015/7/8,222.7465665,N
AUT,Austria,2015/7/9,222.556668,N
AUT,Austria,2015/7/10,219.5814268,N
AUT,Austria,2015/7/11,221.6505537,N
AUT,Austria,2015/7/12,228.6813846,N
AUT,Austria,2015/7/13,219.1700516,N
AUT,Austria,2015/7/14,215.6959496,N
AUT,Austria,2015/7/15,224.4713542,N
AUT,Austria,2015/7/16,229.7655749,N
AUT,Austria,2015/7/17,241.6739021,N
AUT,Austria,2015/7/18,255.9964612,N
AUT,Austria,2015/7/19,267.5290819,N
AUT,Austria,2015/7/20,268.7996423,N
AUT,Austria,2015/7/21,273.9866095,N
AUT,Austria,2015/7/22,282.2124659,N
AUT,Austria,2015/7/23,293.917256,N
AUT,Austria,2015/7/24,300.3121157,N
AUT,Austria,2015/7/25,303.9664948,N
AUT,Austria,2015/7/26,295.4511333,N
AUT,Austria,2015/7/27,291.7489419,N
AUT,Austria,2015/7/28,292.9896754,N
AUT,Austria,2015/7/29,291.3127813,N
AUT,Austria,2015/7/30,289.8370317,N
AUT,Austria,2015/7/31,284.500792,N
AUT,Austria,2015/8/1,280.1885718,N
AUT,Austria,2015/8/2,282.0835026,N
AUT,Austria,2015/8/3,281.5004351,N
AUT,Austria,2015/8/4,275.9699831,N
AUT,Austria,2015/8/5,272.2379533,N
AUT,Austria,2015/8/6,271.0306479,N
AUT,Austria,2015/8/7,273.9914841,N
AUT,Austria,2015/8/8,276.2976021,N
AUT,Austria,2015/8/9,276.7004875,N
AUT,Austria,2015/8/10,282.4703397,N
AUT,Austria,2015/8/11,289.166013,N
AUT,Austria,2015/8/12,292.5043224,N
AUT,Austria,2015/8/13,299.9801322,N
AUT,Austria,2015/8/14,302.302947,N
AUT,Austria,2015/8/15,300.8929953,N
AUT,Austria,2015/8/16,300.8435881,N
AUT,Austria,2015/8/17,294.8288344,N
AUT,Austria,2015/8/18,288.5036514,N
AUT,Austria,2015/8/19,284.9524078,N
AUT,Austria,2015/8/20,285.9416267,N
AUT,Austria,2015/8/21,288.8110672,N
AUT,Austria,2015/8/22,290.5333128,N
AUT,Austria,2015/8/23,292.6596499,N
AUT,Austria,2015/8/24,290.4080826,N
AUT,Austria,2015/8/25,294.5981604,N
AUT,Austria,2015/8/26,301.357922,N
AUT,Austria,2015/8/27,304.4943168,N
AUT,Austria,2015/8/28,307.842777,N
AUT,Austria,2015/8/29,315.1065079,N
AUT,Austria,2015/8/30,315.9137152,N
AUT,Austria,2015/8/31,317.0115574,N
AUT,Austria,2015/9/1,320.6112335,N
AUT,Austria,2015/9/2,319.4759013,N
AUT,Austria,2015/9/3,322.971921,N
AUT,Austria,2015/9/4,322.328692,N
AUT,Austria,2015/9/5,316.8772067,N
AUT,Austria,2015/9/6,304.9084908,N
AUT,Austria,2015/9/7,294.1051752,N
AUT,Austria,2015/9/8,290.3000079,N
AUT,Austria,2015/9/9,296.3225997,N
AUT,Austria,2015/9/10,301.7562661,N
AUT,Austria,2015/9/11,309.807558,N
AUT,Austria,2015/9/12,316.6680365,N
AUT,Austria,2015/9/13,318.8303558,N
AUT,Austria,2015/9/14,319.3868416,N
AUT,Austria,2015/9/15,330.186959,N
AUT,Austria,2015/9/16,329.4423997,N
AUT,Austria,2015/9/17,337.2913153,N
AUT,Austria,2015/9/18,338.8770227,N
AUT,Austria,2015/9/19,343.3954067,N
AUT,Austria,2015/9/20,342.5791633,N
AUT,Austria,2015/9/21,349.8247591,N
AUT,Austria,2015/9/22,350.906038,N
AUT,Austria,2015/9/23,350.7412731,N
AUT,Austria,2015/9/24,355.9164542,N
AUT,Austria,2015/9/25,349.5354549,N
AUT,Austria,2015/9/26,352.541637,N
AUT,Austria,2015/9/27,352.9075253,N
AUT,Austria,2015/9/28,354.3419245,N
AUT,Austria,2015/9/29,363.0865056,N
AUT,Austria,2015/9/30,374.1676958,N
AUT,Austria,2015/10/1,382.7235807,N
AUT,Austria,2015/10/2,385.1858713,N
AUT,Austria,2015/10/3,386.2289775,N
AUT,Austria,2015/10/4,393.7666069,N
AUT,Austria,2015/10/5,399.2300608,N
AUT,Austria,2015/10/6,402.2463429,N
AUT,Austria,2015/10/7,405.5407103,N
AUT,Austria,2015/10/8,397.2905546,N
AUT,Austria,2015/10/9,390.2277912,N
AUT,Austria,2015/10/10,393.1170074,N
AUT,Austria,2015/10/11,391.4169713,N
AUT,Austria,2015/10/12,390.7954769,N
AUT,Austria,2015/10/13,385.682264,N
AUT,Austria,2015/10/14,383.1295154,N
AUT,Austria,2015/10/15,375.4344201,N
AUT,Austria,2015/10/16,370.1195056,N
AUT,Austria,2015/10/17,365.2016118,N
AUT,Austria,2015/10/18,367.7259829,N
AUT,Austria,2015/10/19,357.4726442,N
AUT,Austria,2015/10/20,351.0504063,N
AUT,Austria,2015/10/21,354.9719034,N
AUT,Austria,2015/10/22,361.4775379,N
AUT,Austria,2015/10/23,355.5695724,N
AUT,Austria,2015/10/24,364.2493067,N
AUT,Austria,2015/10/25,370.9015911,N
AUT,Austria,2015/10/26,370.1526375,N
AUT,Austria,2015/10/27,370.3923729,N
AUT,Austria,2015/10/28,373.4434097,N
AUT,Austria,2015/10/29,375.9806292,N
AUT,Austria,2015/10/30,387.8604196,N
AUT,Austria,2015/10/31,393.276875,N
AUT,Austria,2015/11/1,398.1718455,N
AUT,Austria,2015/11/2,406.7678867,N
AUT,Austria,2015/11/3,415.286829,N
AUT,Austria,2015/11/4,423.8647032,N
AUT,Austria,2015/11/5,431.886364,N
AUT,Austria,2015/11/6,443.8101365,N
AUT,Austria,2015/11/7,450.8133294,N
AUT,Austria,2015/11/8,447.9322499,N
AUT,Austria,2015/11/9,443.8592571,N
AUT,Austria,2015/11/10,439.0555463,N
AUT,Austria,2015/11/11,444.6126862,N
AUT,Austria,2015/11/12,447.9607267,N
AUT,Austria,2015/11/13,447.7468234,N
AUT,Austria,2015/11/14,433.8632662,N
AUT,Austria,2015/11/15,425.6639854,N
AUT,Austria,2015/11/16,431.9405907,N
AUT,Austria,2015/11/17,443.4378332,N
AUT,Austria,2015/11/18,445.5037227,N
AUT,Austria,2015/11/19,444.4159065,N
AUT,Austria,2015/11/20,451.2559433,N
AUT,Austria,2015/11/21,454.8145704,N
AUT,Austria,2015/11/22,458.6787704,N
AUT,Austria,2015/11/23,462.8179381,N
AUT,Austria,2015/11/24,476.8911163,N
AUT,Austria,2015/11/25,475.5592079,N
AUT,Austria,2015/11/26,472.1926645,N
AUT,Austria,2015/11/27,475.8431483,N
AUT,Austria,2015/11/28,474.7811697,N
AUT,Austria,2015/11/29,452.5047202,F
AUT,Austria,2015/11/30,444.5753962,N
AUT,Austria,2015/12/1,436.6891311,N
AUT,Austria,2015/12/2,430.2303673,N
AUT,Austria,2015/12/3,431.7553005,N
AUT,Austria,2015/12/4,434.2507094,N
AUT,Austria,2015/12/5,436.7314042,N
AUT,Austria,2015/12/6,439.8209613,N
AUT,Austria,2015/12/7,448.7458112,N
AUT,Austria,2015/12/8,459.503101,N
AUT,Austria,2015/12/9,470.7376815,N
AUT,Austria,2015/12/10,476.8427736,N
AUT,Austria,2015/12/11,489.2473894,N
AUT,Austria,2015/12/12,492.4542862,N
AUT,Austria,2015/12/13,496.4005378,N
AUT,Austria,2015/12/14,505.8107902,N
AUT,Austria,2015/12/15,506.7913161,N
AUT,Austria,2015/12/16,516.9630412,N
AUT,Austria,2015/12/17,522.2590218,N
AUT,Austria,2015/12/18,519.4525171,N
AUT,Austria,2015/12/19,517.1259001,N
AUT,Austria,2015/12/20,512.0838517,N
AUT,Austria,2015/12/21,506.407188,N
AUT,Austria,2015/12/22,497.2742574,N
AUT,Austria,2015/12/23,488.7385978,N
AUT,Austria,2015/12/24,478.8104026,N
AUT,Austria,2015/12/25,467.5628602,F
AUT,Austria,2015/12/26,460.0161535,N
AUT,Austria,2015/12/27,449.8943838,N
AUT,Austria,2015/12/28,446.5342069,N
AUT,Austria,2015/12/29,440.6744873,F
AUT,Austria,2015/12/30,434.3279754,N
AUT,Austria,2015/12/31,427.0245774,N
AUT,Austria,2016/1/1,442.1820223,N
AUT,Austria,2016/1/2,454.6099,N
AUT,Austria,2016/1/3,459.8477394,N
AUT,Austria,2016/1/4,463.5509526,N
AUT,Austria,2016/1/5,480.2579844,N
AUT,Austria,2016/1/6,498.4383858,N
AUT,Austria,2016/1/7,516.4564171,N
AUT,Austria,2016/1/8,531.6992126,N
AUT,Austria,2016/1/9,541.6235855,N
AUT,Austria,2016/1/10,542.6360254,N
AUT,Austria,2016/1/11,536.696942,N
AUT,Austria,2016/1/12,523.0910915,N
AUT,Austria,2016/1/13,504.8305487,N
AUT,Austria,2016/1/14,504.5260206,N
AUT,Austria,2016/1/15,495.2398027,N
AUT,Austria,2016/1/16,498.5855223,N
AUT,Austria,2016/1/17,508.8777078,N
AUT,Austria,2016/1/18,514.9823021,N
AUT,Austria,2016/1/19,529.3319315,N
AUT,Austria,2016/1/20,532.779937,N
AUT,Austria,2016/1/21,530.2844411,N
AUT,Austria,2016/1/22,548.7212468,N
AUT,Austria,2016/1/23,557.9716632,N
AUT,Austria,2016/1/24,564.3191617,N
AUT,Austria,2016/1/25,578.658913,N
AUT,Austria,2016/1/26,590.6138905,N
AUT,Austria,2016/1/27,587.2840239,N
AUT,Austria,2016/1/28,579.2185055,N
AUT,Austria,2016/1/29,563.9720483,N
AUT,Austria,2016/1/30,536.621195,N
AUT,Austria,2016/1/31,506.6057417,N
AUT,Austria,2016/2/1,475.966223,N
AUT,Austria,2016/2/2,460.7144399,N
AUT,Austria,2016/2/3,445.2085793,N
AUT,Austria,2016/2/4,433.3130937,N
AUT,Austria,2016/2/5,432.5953362,N
AUT,Austria,2016/2/6,418.5251566,N
AUT,Austria,2016/2/7,397.6448218,N
AUT,Austria,2016/2/8,389.2067684,N
AUT,Austria,2016/2/9,401.617593,N
AUT,Austria,2016/2/10,397.6657763,N
AUT,Austria,2016/2/11,411.4015514,N
AUT,Austria,2016/2/12,421.645701,N
AUT,Austria,2016/2/13,430.1811489,N
AUT,Austria,2016/2/14,433.6246368,N
AUT,Austria,2016/2/15,435.4778469,N
AUT,Austria,2016/2/16,438.8390586,N
AUT,Austria,2016/2/17,447.7957331,N
AUT,Austria,2016/2/18,452.6431273,N
AUT,Austria,2016/2/19,437.7783356,N
AUT,Austria,2016/2/20,431.2472666,N
AUT,Austria,2016/2/21,403.9181117,N
AUT,Austria,2016/2/22,394.9391461,N
AUT,Austria,2016/2/23,383.0128209,N
AUT,Austria,2016/2/24,380.6106982,N
AUT,Austria,2016/2/25,378.1604258,N
AUT,Austria,2016/2/26,384.4861438,N
AUT,Austria,2016/2/27,380.4149455,N
AUT,Austria,2016/2/28,376.8611393,N
AUT,Austria,2016/2/29,383.6090562,N
AUT,Austria,2016/3/1,375.2795632,N
AUT,Austria,2016/3/2,391.5587642,N
AUT,Austria,2016/3/3,391.7904669,N
AUT,Austria,2016/3/4,388.0756684,N
AUT,Austria,2016/3/5,364.9499295,N
AUT,Austria,2016/3/6,359.4175598,N
AUT,Austria,2016/3/7,372.0313748,N
AUT,Austria,2016/3/8,395.5815272,N
AUT,Austria,2016/3/9,426.2894334,N
AUT,Austria,2016/3/10,423.537298,N
AUT,Austria,2016/3/11,413.9599239,N
AUT,Austria,2016/3/12,406.5876547,N
AUT,Austria,2016/3/13,403.7510131,N
AUT,Austria,2016/3/14,407.9498462,N
AUT,Austria,2016/3/15,427.9475102,N
AUT,Austria,2016/3/16,450.965058,N
AUT,Austria,2016/3/17,454.5419015,N
AUT,Austria,2016/3/18,450.6118342,N
AUT,Austria,2016/3/19,457.1813712,N
AUT,Austria,2016/3/20,449.1475269,N
AUT,Austria,2016/3/21,439.3592015,N
AUT,Austria,2016/3/22,445.8593432,N
AUT,Austria,2016/3/23,454.5646085,N
AUT,Austria,2016/3/24,447.9244936,N
AUT,Austria,2016/3/25,452.1204099,N
AUT,Austria,2016/3/26,425.1760799,N
AUT,Austria,2016/3/27,390.8994774,N
AUT,Austria,2016/3/28,365.4787022,N
AUT,Austria,2016/3/29,357.0150701,N
AUT,Austria,2016/3/30,376.2214963,N
AUT,Austria,2016/3/31,367.99845,N
AUT,Austria,2016/4/1,329.0916067,N
AUT,Austria,2016/4/2,301.1076422,N
AUT,Austria,2016/4/3,278.6745007,N
AUT,Austria,2016/4/4,288.4807265,N
AUT,Austria,2016/4/5,290.4193236,N
AUT,Austria,2016/4/6,277.3467214,N
AUT,Austria,2016/4/7,287.3625357,N
AUT,Austria,2016/4/8,274.6343975,N
AUT,Austria,2016/4/9,252.5958928,N
AUT,Austria,2016/4/10,262.478652,N
AUT,Austria,2016/4/11,291.3805897,N
AUT,Austria,2016/4/12,311.5290795,N
AUT,Austria,2016/4/13,311.8573818,N
AUT,Austria,2016/4/14,298.145148,N
AUT,Austria,2016/4/15,298.9314115,N
AUT,Austria,2016/4/16,295.180658,N
AUT,Austria,2016/4/17,304.4371548,N
AUT,Austria,2016/4/18,300.4111018,N
AUT,Austria,2016/4/19,287.0293832,N
AUT,Austria,2016/4/20,275.6638533,N
AUT,Austria,2016/4/21,275.4697498,N
AUT,Austria,2016/4/22,289.8045105,N
AUT,Austria,2016/4/23,283.6012836,N
AUT,Austria,2016/4/24,260.3701875,N
AUT,Austria,2016/4/25,269.4769135,N
AUT,Austria,2016/4/26,292.2974719,N
AUT,Austria,2016/4/27,331.3790696,N
AUT,Austria,2016/4/28,350.1317454,N
AUT,Austria,2016/4/29,357.4139001,N
AUT,Austria,2016/4/30,344.9802694,N
AUT,Austria,2016/5/1,336.5980766,N
AUT,Austria,2016/5/2,308.6697487,N
AUT,Austria,2016/5/3,275.7389107,N
AUT,Austria,2016/5/4,230.6839768,N
AUT,Austria,2016/5/5,219.4486583,N
AUT,Austria,2016/5/6,221.7047236,N
AUT,Austria,2016/5/7,210.5849102,N
AUT,Austria,2016/5/8,201.1927255,N
AUT,Austria,2016/5/9,213.8647752,N
AUT,Austria,2016/5/10,194.1931702,N
AUT,Austria,2016/5/11,201.760853,N
AUT,Austria,2016/5/12,195.7895957,N
AUT,Austria,2016/5/13,175.0096061,N
AUT,Austria,2016/5/14,143.6918671,N
AUT,Austria,2016/5/15,126.1459653,N
AUT,Austria,2016/5/16,119.9581058,N
AUT,Austria,2016/5/17,127.1719749,N
AUT,Austria,2016/5/18,153.6004535,N
AUT,Austria,2016/5/19,169.3068063,N
AUT,Austria,2016/5/20,179.2684984,N
AUT,Austria,2016/5/21,174.7675606,N
AUT,Austria,2016/5/22,157.9051968,N
AUT,Austria,2016/5/23,153.0901873,N
AUT,Austria,2016/5/24,139.9962421,N
AUT,Austria,2016/5/25,129.5430683,N
AUT,Austria,2016/5/26,133.3255967,N
AUT,Austria,2016/5/27,128.6353716,N
AUT,Austria,2016/5/28,115.3717884,N
AUT,Austria,2016/5/29,96.71610525,N
AUT,Austria,2016/5/30,96.99818094,N
AUT,Austria,2016/5/31,95.0438523,N
AUT,Austria,2016/6/1,88.40045322,N
AUT,Austria,2016/6/2,78.80433363,N
AUT,Austria,2016/6/3,79.94968449,N
AUT,Austria,2016/6/4,79.43717937,N
AUT,Austria,2016/6/5,76.20200631,N
AUT,Austria,2016/6/6,75.46144028,N
AUT,Austria,2016/6/7,87.40743274,N
AUT,Austria,2016/6/8,99.65911925,N
AUT,Austria,2016/6/9,101.2248257,N
AUT,Austria,2016/6/10,101.4815131,N
AUT,Austria,2016/6/11,88.20462454,N
AUT,Austria,2016/6/12,76.81998594,N
AUT,Austria,2016/6/13,80.48120335,N
AUT,Austria,2016/6/14,82.53949765,N
AUT,Austria,2016/6/15,80.60629901,N
AUT,Austria,2016/6/16,65.68925482,N
AUT,Austria,2016/6/17,62.52834505,N
AUT,Austria,2016/6/18,65.3444695,N
AUT,Austria,2016/6/19,60.97724252,N
AUT,Austria,2016/6/20,63.75838131,N
AUT,Austria,2016/6/21,68.22607821,N
AUT,Austria,2016/6/22,69.3039477,N
AUT,Austria,2016/6/23,84.91852835,N
AUT,Austria,2016/6/24,83.60028145,N
AUT,Austria,2016/6/25,78.45172567,N
AUT,Austria,2016/6/26,77.21292843,N
AUT,Austria,2016/6/27,74.77929508,N
AUT,Austria,2016/6/28,73.97138298,N
AUT,Austria,2016/6/29,78.47780372,N
AUT,Austria,2016/6/30,80.12207177,N
AUT,Austria,2016/7/1,86.62495003,N
AUT,Austria,2016/7/2,87.28633895,N
AUT,Austria,2016/7/3,82.04709086,N
AUT,Austria,2016/7/4,82.87573232,N
AUT,Austria,2016/7/5,92.244243,N
AUT,Austria,2016/7/6,121.2767866,N
AUT,Austria,2016/7/7,119.3539206,N
AUT,Austria,2016/7/8,122.0535917,N
AUT,Austria,2016/7/9,125.4116922,N
AUT,Austria,2016/7/10,129.5997816,N
AUT,Austria,2016/7/11,138.3590625,N
AUT,Austria,2016/7/12,137.5467697,N
AUT,Austria,2016/7/13,126.7562297,N
AUT,Austria,2016/7/14,117.8778439,N
AUT,Austria,2016/7/15,112.9274159,N
AUT,Austria,2016/7/16,103.132881,N
AUT,Austria,2016/7/17,96.60721456,N
AUT,Austria,2016/7/18,93.85637329,N
